10000	113
10000	121
10000	118
10000	123
10000	156
10000	152
10000	176
10000	160
10000	117
10000	120
10000	161
10000	150
10000	168
10000	130
10000	120
10000	120
10000	122
10000	119
15000	159
15000	171
15000	224
15000	243
15000	231
15000	179
15000	181
15000	170
15000	190
15000	249
15000	219
15000	171
15000	173
15000	173
15000	183
15000	227
15000	238
15000	183
20000	162
20000	195
20000	232
20000	245
20000	361
20000	321
20000	278
20000	242
20000	230
20000	247
20000	311
20000	353
20000	249
20000	236
20000	233
20000	311
20000	348
20000	253
25000	186
25000	228
25000	261
25000	303
25000	321
25000	385
25000	384
25000	287
25000	283
25000	288
25000	295
25000	399
25000	385
25000	288
25000	306
25000	309
25000	382
25000	448
30000	231
30000	260
30000	275
30000	323
30000	466
30000	506
30000	357
30000	374
30000	343
30000	342
30000	360
30000	470
30000	466
30000	342
30000	377
30000	485
30000	530
30000	378
35000	234
35000	292
35000	310
35000	445
35000	516
35000	472
35000	479
35000	419
35000	468
35000	597
35000	611
35000	402
35000	425
35000	454
35000	585
35000	473
35000	458
35000	402
40000	270
40000	362
40000	427
40000	367
40000	398
40000	425
40000	492
40000	633
40000	628
40000	474
40000	488
40000	653
40000	682
40000	474
40000	474
40000	495
40000	812
40000	525
45000	279
45000	309
45000	344
45000	427
45000	546
45000	644
45000	490
45000	546
45000	696
45000	715
45000	635
45000	523
45000	568
45000	531
45000	752
45000	553
45000	512
45000	524
50000	420
50000	436
50000	467
50000	403
50000	454
50000	507
50000	700
50000	862
50000	578
50000	573
50000	784
50000	839
50000	665
50000	845
50000	786
50000	916
50000	852
50000	627
55000	594
55000	486
55000	460
55000	508
55000	572
55000	657
55000	751
55000	795
55000	626
55000	864
55000	894
55000	679
55000	675
55000	864
55000	728
55000	659
55000	695
55000	851
60000	374
60000	404
60000	435
60000	593
60000	667
60000	682
60000	586
60000	644
60000	854
60000	872
60000	682
60000	717
60000	707
60000	984
60000	689
60000	724
60000	1007
60000	701
65000	380
65000	408
65000	462
65000	621
65000	761
65000	554
65000	627
65000	671
65000	890
65000	717
65000	804
65000	753
65000	1022
65000	849
65000	743
65000	779
65000	1001
65000	753
70000	415
70000	452
70000	642
70000	624
70000	563
70000	589
70000	899
70000	852
70000	688
70000	782
70000	946
70000	1035
70000	847
70000	848
70000	1079
70000	1004
70000	894
70000	897
75000	534
75000	584
75000	516
75000	553
75000	728
75000	877
75000	627
75000	679
75000	767
75000	916
75000	853
75000	872
75000	1170
75000	1121
75000	960
75000	1051
75000	1246
75000	913
80000	487
80000	682
80000	654
80000	704
80000	586
80000	835
80000	914
80000	771
80000	744
80000	967
80000	1098
80000	891
80000	909
80000	1216
80000	922
80000	1012
80000	1339
80000	1029
85000	462
85000	512
85000	635
85000	788
85000	668
85000	705
85000	921
85000	735
85000	779
85000	794
85000	1176
85000	831
85000	915
85000	1303
85000	1097
85000	1030
85000	1633
85000	1032
90000	519
90000	561
90000	735
90000	861
90000	631
90000	703
90000	931
90000	1120
90000	806
90000	880
90000	1011
90000	918
90000	895
90000	1158
90000	1102
90000	1053
90000	1529
90000	1249
95000	528
95000	604
95000	796
95000	885
95000	711
95000	721
95000	993
95000	1040
95000	829
95000	826
95000	1191
95000	1002
95000	991
95000	1299
95000	1005
95000	1027
95000	1556
95000	1096
