1000	32.6233	50.7402	64.2085
2000	132.341	147.083	201.494
3000	294.862	283.399	384.527
4000	498.533	458.849	634.56
5000	805.214	632.056	895.451
6000	1147.14	985.246	1322.16
7000	1434.06	1126.98	1558.69
8000	1994.76	1547.77	2162.18
9000	2341.9	1615.11	2305.89
10000	2874.08	2049	2863.64
11000	3492.31	2363.28	3350.65
12000	4307.75	2862.12	4019.07
13000	4819.74	3169.78	4508.62
14000	5512.83	3298.32	4701.86
15000	6387.41	3867.52	5523.07
16000	7055.75	4085	5810.62
17000	8082.61	4788.6	6871.89
18000	9711.31	5377.63	7752.37
19000	10626	5871.29	8453.31
20000	10980.4	5649.03	8193.03
21000	13039.6	7111.33	10185.5
22000	13790.5	6697.94	9687.88
23000	14329.4	7296.5	10639.6
24000	15761.6	7937.64	11412.5
25000	17582.2	8784.41	13113.3
26000	19025.1	9810.27	14098.9
27000	19734.7	9453.25	13804.3
28000	22024.1	10670.4	15488
29000	22716	10780	15970.4
30000	25109.8	11688.3	16912.3
31000	25958.9	11543	16884.1
32000	27152.7	12301.7	18060.9
33000	30130.3	13779.7	19885
34000	31987.7	14267.3	20713.7
35000	34630.4	16307.8	23531.9
36000	34461.9	13918.9	20045.8
37000	36667	15493.3	22417.3
38000	38285.7	15765.3	22890.2
39000	41266.7	16719.6	25263.2
40000	43323.5	18226.4	26336.7
41000	43754.4	15506.1	23294.5
42000	46232.6	18220.2	26725.9
43000	48704.6	18703.2	27987
44000	50913.6	19605.5	29102.9
45000	53916.6	19901.9	29963.6
46000	55628.8	21246.4	31585.4
47000	60075.3	22956.1	33958.2
48000	59886.7	22983.4	34040.8
49000	63110.3	23805.5	34851.1
50000	65921.1	23274.8	34620.8
