500	14.5902	17.2568	5.27809	14.9629
1000	45.5944	58.5655	19.9517	33.048
1500	84.8308	109.826	39.0066	68.2519
2000	128.257	185.205	69.3207	136.207
2500	204.992	283.665	105.169	192.171
3000	288.76	398.78	153.102	286.359
3500	370.076	490.782	191.973	358.006
4000	461.286	633.674	259.52	479.731
4500	500.091	692.709	286.989	584.786
5000	608.821	857.162	361.566	720.687
5500	684.083	974.972	413.524	866.032
6000	811.042	1137.75	497.818	1032.44
6500	977.09	1358.37	602.339	1217.03
7000	1195	1725.65	745.933	1485.03
7500	1229.29	1728.55	794.344	1653.27
8000	1401.57	2060.21	901.397	1885.31
8500	1440.63	2094.32	934.474	1999.04
9000	1806.58	2580.14	1122.01	2335.67
9500	1924.6	2755.67	1213.5	2560.46
10000	1948.64	2797.38	1323.62	2817.16
